epoch,lr
1,0.0001
2,0.0001
3,0.0001
4,0.0001
5,0.0001
6,0.0001
7,0.0001
8,0.0001
9,0.0001
10,0.0001
11,5e-05
12,5e-05
13,5e-05
14,5e-05
15,5e-05
16,5e-05
17,2.5e-05
18,2.5e-05
19,2.5e-05
20,2.5e-05
21,2.5e-05
22,2.5e-05
23,1.25e-05
24,1.25e-05
25,1.25e-05
26,1.25e-05
27,1.25e-05
28,1.25e-05
29,6.25e-06
30,6.25e-06
1,0.0001
2,0.0001
3,0.0001
4,0.0001
5,0.0001
6,0.0001
7,0.0001
8,0.0001
9,0.0001
10,0.0001
11,5e-05
12,5e-05
13,5e-05
14,5e-05
15,5e-05
16,5e-05
17,2.5e-05
18,2.5e-05
19,2.5e-05
20,2.5e-05
