epoch,train_rmse,train_mae,train_r2
1,0.06860030801700694,0.054116742165347974,-2774.4346451720635
2,0.030676780443928846,0.015118143688312841,-93.5756474369532
3,0.030637627331443228,0.015001548024789467,-127.34434393474034
4,0.030610250433084445,0.014894286559912824,-193.52536426426528
5,0.030580847642033712,0.014714846902303156,-437.82746571225005
6,0.03057420349456128,0.014659530813155647,-546.9214629259976
7,0.030576291583272835,0.014655811610471385,-477.12227358446495
8,0.03056741147090427,0.014675325825931384,-390.678296256375
9,0.030551984339238857,0.014720218378578785,-338.70738405376284
10,0.030540252385612626,0.014717730152263464,-294.2167620039605
11,0.030507637502311113,0.01472622823036675,-227.9784841057542
12,0.030354518963435252,0.014664953563199076,-142.0879523630266
13,0.024361818774857304,0.014474531508643518,-22.811476369376308
14,0.021039173732717315,0.013813430476667625,-9.400777755813165
15,0.014255228948283506,0.009135491018147245,-0.6030263917689974
16,0.012199434082858361,0.007603717254257047,-0.03419282984036904
17,0.010352032289344382,0.006508693464898637,0.3780778600991546
18,0.0097130329360242,0.0060684915508034745,0.5310306494160519
19,0.009059223089391341,0.005579454369250347,0.6555186170455697
20,0.008688000810949446,0.005283183313894098,0.7075287220733506
21,0.008361069857469433,0.0050536598178691095,0.7426534036246987
22,0.008177816538236939,0.0049080407993819615,0.7749628792577362
23,0.007812856725271936,0.004617863280287423,0.8085759046862458
24,0.007506596846747902,0.004377174417959985,0.8342328617446028
25,0.0074809364182269805,0.0044174022540184,0.8829712803451368
26,0.007104784337948863,0.004173731509983153,0.8923091240251413
27,0.006619868341942209,0.0039311474984414976,0.9122983944154792
28,0.006266745914064058,0.0037298639079664723,0.9224321371694277
29,0.006005433838596785,0.003573792514107009,0.9287967722705722
30,0.005811016784388234,0.0034542225041221102,0.9331232914096349
1,0.05657264627758172,0.0437542991410312,-2168.077872785655
2,0.0216283810766438,0.007947267307567276,-66.2907107456938
3,0.021564401349040693,0.007688924169406754,-118.6267902611138
4,0.021543658182762757,0.007581995859101125,-164.52619609585057
5,0.02153603428998938,0.007532339647802367,-194.59961279491324
6,0.021533829713385407,0.007508603419788037,-207.35851629213855
7,0.021534920062313414,0.007500195315987622,-204.13592758581237
8,0.021539014591774965,0.007504251240540973,-187.10736141111943
9,0.021547083490431405,0.007523529429227573,-158.39795457852352
10,0.021557224477496143,0.0075705782098350926,-124.39027906547894
11,0.02153997134731768,0.007705362192763306,-97.75258350372314
12,0.021514873138278143,0.007895136939954351,-74.28959078138524
13,0.021475682872674103,0.00810316272530487,-53.54258610134001
14,0.021260192046280612,0.009057245090265165,-30.396012995150183
15,0.020581837029909934,0.011463703418319876,-34.91471496030882
16,0.01939041642835001,0.01117822932768855,-54.12508864836259
17,0.016748020857838646,0.009026863621305916,-56.27645197026915
18,0.010844680462516361,0.00640245701198454,-1.256484014453826
19,0.008076571983394103,0.004672359238233562,0.6640118767882323
20,0.007019269718582947,0.003991936643414393,0.7754105722604246
21,0.00641046737187675,0.003617912534678766,0.8146309189304903
22,0.0058848239260713585,0.003279663656396767,0.839874449186027
23,0.005574978526693757,0.003063383041246032,0.8510129534724084
24,0.005320349711223276,0.002900817272005385,0.8639744761000786
25,0.0050685597846719934,0.002728533714876643,0.8754033311572554
26,0.004764793667482671,0.0025991055034947667,0.9141158751006444
27,0.0045047611097938246,0.0024600376189057413,0.9245913174825829
28,0.004329987961871477,0.0023605439127060016,0.931496616846023
29,0.004185566714928522,0.0022777553009740137,0.9367553743763597
30,0.004065850559114056,0.002208542635863913,0.9407397568008149
1,0.05580494517313415,0.043323620164301246,-2089.960618208898
2,0.021630836218767064,0.007987391140838889,-63.79188176205284
3,0.021557714450050537,0.007688846620639149,-123.07570219196771
4,0.021534514979545127,0.007565982784542844,-182.22419904250847
5,0.02152564802121273,0.007508056801605945,-227.70326227420256
6,0.021522156082363308,0.007478596442716049,-254.87840314758452
7,0.02152141356705933,0.007464699717514266,-263.41360502964574
8,0.021522636762758913,0.007461804824982353,-254.72508723798552
9,0.02152583289487091,0.007469456450244731,-230.86567413179498
10,0.021531694593202127,0.007491737303146357,-193.78517266009985
11,0.021540007007149,0.007544068821420967,-146.74876305931494
12,0.021523494700790922,0.007699702170947076,-104.21323571079655
13,0.021486384080306283,0.007909259028996243,-76.7575769463652
14,0.021360623195313996,0.008221681546848757,-52.46289633841891
15,0.02047089366609917,0.010427701084776536,-26.561311650433037
16,0.01840863952192625,0.010054663825461543,-34.04410937899038
17,0.013510486230523767,0.007660996557924112,-6.756705974375731
18,0.009225330410500695,0.005277241897266849,0.4432724996126796
19,0.007988030717426323,0.004439926613581759,0.7013931309951371
20,0.007355662517702991,0.004017447397927754,0.7668362590729406
